Date,Close,High,Low,Open,Volume
2021-01-01,505.9263000488281,515.0377689596602,504.58353384639275,513.647059365482,13592625
2021-01-04,509.9544372558594,513.1194614786899,502.85706054133055,510.529874918582,16549750
2021-01-05,515.277587890625,517.8671751913496,501.6103833723534,505.1111293487518,23311516
2021-01-06,524.3409423828125,528.0814041126355,513.9346531935635,516.7160717050868,28178838
2021-01-07,518.9699096679688,531.726009188094,517.6751457805202,529.5680303497315,21138034
2021-01-08,519.8811645507812,524.7246173575334,514.4142721038121,524.6287305847001,21937965
2021-01-11,522.4228515625,523.6696724080649,513.1195508027741,522.8544591541405,19394393
2021-01-12,525.5878295898438,528.129472984273,515.1335956952024,518.8741164381487,16388310
2021-01-13,533.7401733398438,538.056131614829,525.8275831690374,528.9446641454157,21920297
2021-01-14,530.6710815429688,535.6104798550574,528.0814946467178,531.3904079842088,13330898
2021-01-15,520.7922973632812,528.4651120573996,519.3536446081341,527.5060102206348,15708956
2021-01-18,511.3451232910156,525.9714250318025,507.2689408386652,522.2309047776049,21580313
2021-01-19,524.1012573242188,525.3480781158394,512.0645399031081,516.9559362929026,20575358
2021-01-20,528.4651489257812,531.917892363443,523.6696394073984,524.1012469718398,16097138
2021-01-21,530.0956420898438,538.0561763060138,527.2183363341966,532.3015647947194,18189277
2021-01-22,511.9685974121094,530.8629170997804,508.8994595350009,530.4792529130408,24515997
2021-01-25,516.0447387695312,520.1209216327012,509.47491451152393,514.6060859942947,23415249
2021-01-27,500.98681640625,517.1477173303118,497.8697354654614,515.8049513556309,28049286
2021-01-28,506.64556884765625,508.18010844231725,491.0601632749645,493.5538047510219,29836591
2021-01-29,515.0376586914062,522.6625295921092,507.79645192038333,511.5369137595902,33172808
2021-02-01,579.105712890625,584.5246620166673,528.4651445076596,529.4242464033179,69354326
2021-02-02,592.1015014648438,598.479552159034,574.21428715268,587.9294318485382,42362384
2021-02-03,596.8970947265625,601.8364933464959,588.8886165972087,597.9041986382141,27155908
2021-02-04,602.6036987304688,605.8167251477457,584.0930441777774,593.492230882047,29982222
2021-02-05,589.0324096679688,609.3173781581226,586.0112155014483,602.6036653782369,32015570
2021-02-08,603.8505249023438,608.0226532359691,596.8970362185685,596.8970362185685,18230551
2021-02-09,607.4471435546875,616.8943320603111,602.8914096901439,605.528939822248,27155615
2021-02-10,606.2962646484375,612.0988191978034,600.7814289494911,607.4471400501155,23967387
2021-02-11,604.8576049804688,607.68690860618,598.5754410332529,601.1170843507472,16072702
2021-02-12,621.1143188476562,623.3202998776966,603.6587124527489,604.1382633655525,19049709
2021-02-15,646.38671875,649.1201356713515,625.3344209385314,628.2117265563467,27155194
2021-02-16,631.4246826171875,651.6138234894805,622.9845980037339,645.8592123613623,24966739
2021-02-17,630.465576171875,637.754785337775,622.7927613902524,628.019878168019,21684753
2021-02-18,618.2850341796875,625.7180735551965,611.5233192714663,623.4162056878533,27845347
2021-02-19,598.5275268554688,609.5092552791426,593.6840739855063,609.5092552791426,24055811
2021-02-22,584.908203125,603.5627446453855,582.4625052686657,596.5613132872595,27092321
2021-02-23,591.094482421875,597.5684201719565,584.140993727343,589.6078862018652,23534585
