Date,Close,High,Low,Open,Volume
2021-01-01,663.90576171875,672.2683283636043,661.8325508389017,670.8706811112891,8810938
2021-01-04,659.689453125,669.9388655323093,651.7694526284428,669.9388655323093,15740192
2021-01-05,664.6742553710938,666.5611014362663,656.4281614004537,661.1801381173653,14386824
2021-01-06,661.8092041015625,670.8705931849613,658.3383464243002,668.5411814030691,22134050
2021-01-07,659.8058471679688,667.4230118582813,658.0821053021689,667.3764349995519,19894842
2021-01-08,666.98046875,671.8023396333432,662.9971519630973,667.1435161962187,13768764
2021-01-11,676.2050170898438,682.4711697734068,669.146943909302,675.5295103276811,17331392
2021-01-12,689.9718017578125,693.0931909419772,675.1101425268274,676.6708371189097,20388156
2021-01-13,685.1500244140625,697.379438511434,681.1667067884669,695.5159087442155,16934650
2021-01-14,684.2647705078125,693.2330066489362,678.3247699468085,685.3828996345541,12297166
2021-01-15,683.286376953125,685.6157887609149,673.2000124513131,684.4277659907799,14165236
2021-01-18,690.9501342773438,700.1513111208578,683.4494394650668,684.8005097174363,42825632
2021-01-19,700.6172485351562,704.2511540690322,683.4494931587943,695.0033996358874,17360254
2021-01-20,695.0965576171875,699.2894993186317,692.301263149558,699.2894993186317,13346052
2021-01-21,687.0833740234375,696.1913406588754,683.9852447445681,695.0965284124685,26333054
2021-01-22,672.5244750976562,683.8686987100398,670.9404637665335,683.8686987100398,15392364
2021-01-25,681.5159912109375,689.9717673229738,677.9287198278455,682.5642265090312,20344718
2021-01-27,656.7078247070312,685.7323211979973,655.1005531628573,683.9153684499677,23556276
2021-01-28,638.934326171875,652.8409598159711,625.2141137122674,647.5298896517861,42704446
2021-01-29,647.8094482421875,656.3118016621228,635.6965063836496,648.2054368904044,28704502
2021-02-01,687.9918212890625,690.6706450387913,652.7012301513299,657.010642270459,26370544
2021-02-02,727.03271484375,735.3952801723026,697.6122334393361,699.2893985040394,42420206
2021-02-03,733.671630859375,736.886173943163,718.3906652955849,735.6283142034556,20237254
2021-02-04,735.6748046875,739.8211689606676,719.0660875996612,729.5717573000035,24484684
2021-02-05,744.2936401367188,753.9141221565797,721.1858866666988,721.1858866666988,27054716
2021-02-08,747.857666015625,760.1569718191174,743.4084666840961,754.7294308956938,17447580
2021-02-09,750.9324951171875,758.4565068510009,739.2155420064337,750.07062409712,18421366
2021-02-10,736.9094848632812,752.3301809012268,730.0377194757463,749.3019453067199,19788006
2021-02-11,732.5302124023438,744.3869541247504,728.7332593016877,737.0259891336575,13648618
2021-02-12,737.002685546875,741.9177679192464,732.8330605569699,733.2523661170039,9910106
2021-02-15,753.1454467773438,757.0588701571608,743.8743760087222,745.4583874803633,10355244
2021-02-16,757.82763671875,764.5130379556755,749.348542699615,755.2885434515557,13897358
2021-02-17,739.1223754882812,755.5680457969456,737.4917872032456,754.7294347879077,12794426
2021-02-18,724.1209716796875,748.1837499704787,721.1858900765627,748.1837499704787,14720560
2021-02-19,717.0394897460938,728.7331249694511,714.1976188793626,719.7882068940739,17139508
2021-02-22,721.1858520507812,733.2522158590447,717.20253535234,719.811521915512,29451838
2021-02-23,712.404052734375,725.7049605608184,709.375817264446,723.8647479080247,18239906
2021-02-24,748.416748046875,751.9108659969904,706.3941789149849,711.1694734468092,14314332
2021-02-25,748.3933715820312,762.2999474852217,746.3434779962262,749.9540659827873,20109570
2021-02-26,714.8499145507812,740.2405035257096,708.6070794654332,739.3786325217429,27912846
2021-03-01,726.2640991210938,732.6234053811512,717.7850051508801,728.6400880340791,13536018
2021-03-02,730.5967407226562,739.5882935913318,722.5835863686019,734.090858645135,16110038
2021-03-03,739.2854614257812,743.5482966812122,729.1059425476798,737.9577079843609,11222410
2021-03-04,723.0726928710938,731.9011402745581,717.0394825766341,721.44210471644,16291438
2021-03-05,712.8001098632812,720.0678643152556,708.6537449089482,713.2659922880285,17445822
2021-03-08,707.9083251953125,724.4471508250812,704.6471483105694,718.3906794677011,15117050
2021-03-09,727.9412231445312,729.432024021368,716.6435753613281,719.7882814453125,15066696
2021-03-10,724.7965698242188,733.7648063462282,723.1194044980812,732.3671590960449,11055016
2021-03-12,723.0261840820312,745.4118566502228,715.1528168424925,745.4118566502228,15631204
2021-03-15,712.171142578125,721.372319983862,705.9516239083291,721.372319983862,12230386
2021-03-16,704.484130859375,717.6453095621886,703.4824722565825,713.2194264585876,13722366
2021-03-17,696.6571655273438,716.9929416198833,694.257860034132,710.1211769097512,21064428
2021-03-18,694.6306762695312,709.096347909828,690.041745885562,704.2977363182185,18065540
2021-03-19,697.6588745117188,704.0414404652653,686.7339552850576,691.8353446743922,21235020
2021-03-22,684.4511108398438,696.4475821404212,680.3746400095504,696.4475821404212,14015632
2021-03-23,698.8933715820312,702.2942783853773,684.4277028421658,684.847008302962,19761428
2021-03-24,688.9468383789062,701.8284397937207,685.3129333194655,694.5840034107844,16368900
2021-03-25,681.7490234375,696.7504713848288,675.6459751498256,694.2579549579342,23964356
2021-03-26,694.7704467773438,698.357718513874,686.7106584986326,696.0283065108258,12021258
2021-03-30,723.8414916992188,727.9645966039669,699.5457690431183,701.9217580060904,25607644
2021-03-31,695.865234375,721.1859305763878,693.2329875307913,721.1859305763878,30774506
